president_year,sentence,label
Arroyo-2009,"day visited washington, senator daniel inouye successfully sponsored benefits veterans part americas stimulus package.",
Arroyo-2009,"accepted invitation president obama first southeast asian leader meet white house, later week.",
Arroyo-2009,sought philippines testifies strong deep ties.,
Arroyo-2009,high agenda peace security issues.,
Arroyo-2009,"terrorism meet it, end it, address roots injustice prejudice—and first always protect lives.",
Arroyo-2009,discuss nuclear nonproliferation.,
Arroyo-2009,philippines chair review nuclear weapons nonproliferation treaty new york .,
Arroyo-2009,success talks major diplomatic achievement us.,
Arroyo-2009,"range issues discuss, including global challenge climate change, especially threat countries long coastlines.",
Arroyo-2009,"global recession, worse impact poor people, options spare worst.",
Arroyo-2009,"first quarter , stood among economies asia pacific shrink.",
Arroyo-2009,"compare , current critics driven people power.",
Arroyo-2009,asia surging country brink bankruptcy.,
Arroyo-2009,"since then, economy posted uninterrupted growth quarters doubled size billion billion.",
Arroyo-2009,average gdp growth first quarter highest years.,
Arroyo-2009,bumaba nagsasabing mahirap .,
Arroyo-2009,"maski lumaki populasyon, nabawasan milyon mahihirap.",
Arroyo-2009,"gnp per capita rose third world ,.",
Arroyo-2009,"lumikha milyong trabaho, average million year—much, much time.",
Arroyo-2009,"sum first, strong economy strong fiscal position withstand political shocks.",
Arroyo-2009,"second, built new modern infrastructure completed unfinished ones.",
Arroyo-2009,"third, economy fair poor ever before.",
Arroyo-2009,"fourth, building sound base next generation.",
Arroyo-2009,"fifth, international authorities taken notice safer environmental degradation manmade disasters.",
Arroyo-2009,"country path typhoons pacific rim fire, must prepared latest technology permits anticipate natural calamities possible extend immediate effective relief not.",
Arroyo-2009,mapping flood landslideprone areas almost complete.,
Arroyo-2009,"early warning, forecasting, monitoring systems improved, weather tracking facilities subic, tagaytay, mactan, mindanao, pampanga.",
Arroyo-2009,"worked flood control infrastructure like pinatubo, agno, laoag, abucay, pump run waters quezon city tondo flooding sampaloc.",
Arroyo-2009,help relieve hundreds hectares old city ageold woe.,
Arroyo-2009,"patuloy naman camanava, dagdag pinatubo, iloilo, pasigmarikina, bicol river basin, river basin mindanao.",
Arroyo-2009,victims typhoon frank panay receive longoverdue assistance package.,
Arroyo-2009,ask congress pass snits law.,
Arroyo-2009,namana natin pinakamatagal rebelyon komunista buong mundo.,
Arroyo-2009,si leah de la cruz labindalawang libong rebel returnee.,
Arroyo-2009,sixteen lang nang sumali npa.,
Arroyo-2009,"kasapi regional white area committee, napromote leyte party committee secretary.",
Arroyo-2009,nahuli noong .,
Arroyo-2009,involved lgusupported handicraft livelihood training former rebels.,
Arroyo-2009,"love you, leah!",
Arroyo-2009,"good prospect peace talks communist party philippines milf, ceasefire.",
Arroyo-2009,"inherited ageold conflict mindanao, exacerbated politically popular nearsighted policy massive retaliation.",
Arroyo-2009,provoked side continue war.,
Arroyo-2009,"two internal conflicts, tanong hindi, sino mananalo kundi, bakit ba kailangang maglaban pilipino isyu alam naman nating di malulutas dahas, mareresolba lang paraang demokratiko nothing would wish peace mindanao.",
Arroyo-2009,"blessing people muslim, christian, lumads.",
Arroyo-2009,"show religiously divided communities common ground live together peace, harmony, cooperation respects others religious beliefs.",
Arroyo-2009,"dako bansa, nating protektahan mamamayan kontra krimen—in homes, neighborhoods, communities.",
Arroyo-2009,"shall crime fought five pillars justice, including crime fighters call congress fund policemen streets.",
Arroyo-2009,"real government looking beyond vested national interest, setting necessary conditions enable next, enabled, empowered generation achieve country prosperous, people content, deserve be.",
Arroyo-2009,noisiest critics constitutional reform tirelessly shamelessly attempted chacha thought could take advantage shift form government.,
Arroyo-2009,"feel cannot benefit it, oppose it.",
Arroyo-2009,"seeds fundamental political reform planted, let us address highest exercise democracy—voting!",
Arroyo-2009,", said would finance fully automated elections.",
Arroyo-2009,"got it, thanks congress.",
Arroyo-2009,"end speech shall step stage, presidency.",
Arroyo-2009,term end next year.,
Arroyo-2009,"then, fight ordinary filipino.",
Arroyo-2009,nation comes first.,
Arroyo-2009,much head state—to last day.,
Arroyo-2009,year long time.,
Arroyo-2009,"patuloy pamumuhunan tinatawag three es ekonomiya, environment, edukasyon.",
Arroyo-2009,many perils must still guard against.,
Arroyo-2009,"manmade calamity already upon us, global scale.",
Arroyo-2009,"said earlier, far spared worst effects cannot complacent.",
Arroyo-2009,"know generated resources draw, thereby created options could take.",
Arroyo-2009,thank god let critics stop us.,
Arroyo-2009,"campaign unfolds candidates take airwaves, ask talk build nation rather tear opponents.",
Arroyo-2009,give electorate real choices sweet talk.,
Arroyo-2009,"meanwhile, keep steady hand tiller, keeping ship state away shallows prefer, steering straight course set .",
Arroyo-2009,taong bayan masipag makadiyos.,
Arroyo-2009,qualities epitomized someone like manny pacquiao.,
Arroyo-2009,"manny trained tirelessly, book, iron discipline, certain knowledge fight himself, weaknesses first, could beat opponent.",
Arroyo-2009,way clinch victories ultimate title pinakadakilang boksingero kasaysayan.,
Arroyo-2009,"mabuhay ka, manny!",
Arroyo-2009,"however much president wishes it, national problem cannot knocked single punch.",
Arroyo-2009,"president must work problem much it, turn solution can.",
Arroyo-2009,"isnt day work job, waking moment think workrelated problem.",
Arroyo-2009,even critics cannot begrudge long hours put in.,
Arroyo-2009,people deserve government works hard do.,
Arroyo-2009,"president must job , ready contingency, crisis, anywhere, anytime.",
Arroyo-2009,everything right undone even single wrong.,
Arroyo-2009,every step forward must taken teeth political pressures economic constraints could push two steps back—if flinch falter.,
Arroyo-2009,"flinched, faltered.",
Arroyo-2009,umatras hamon.,
Arroyo-2009,never done things scared worst critics much.,
Arroyo-2009,frightened shadows.,
Arroyo-2009,"face attempted coups, issued emergency proclamations case.",
Arroyo-2009,able resolve military crises ordinary powers office.,
Arroyo-2009,critics call dictatorship.,
Arroyo-2009,call determination.,
Arroyo-2009,"know strong government, never declared martial law, though running scared did.",
Arroyo-2009,"truth, really afraid weakness face selfimagined threat.",
Arroyo-2009,"say tell us know, democracy threatened.",
Arroyo-2009,tell us attacked.,
Arroyo-2009,"know shown, defend democracy arms threatened violence firmness weakened division law order subverted anarchy always, try sustain wise policies economic progress, democracy means empty liberty full life all.",
Arroyo-2009,never expressed desire extend beyond term.,
Arroyo-2009,many accuse tried cling like nails posts.,
Arroyo-2009,accused misgovernance.,
Arroyo-2009,many accuse left problem misgovernance solve.,
Arroyo-2009,it.,
Arroyo-2009,"falsely accused, without proof, using position personal profit.",
Arroyo-2009,many accuse lifestyles spending habits make walking proofs crime.,
Arroyo-2009,read frustrations.,
Arroyo-2009,chance serve good country blew serving themselves.,
Arroyo-2009,live glass houses cast stones.,
Arroyo-2009,"jail threaten it, especially there.",
Arroyo-2009,"administration, highest average rate growth, recording multiple increases investments, largest job creation history, gets credit upgrade height world recession, must something right, even cocooned corporate privilege refuse recognize it.",
Arroyo-2009,"governance, however, looking back getting even.",
Arroyo-2009,"looking forward giving more—to people gave us greatest, hardest gift care country.",
Arroyo-2009,"bonifacio balintawak cory aquino edsa today, struggled bring power people, country eminence deserves.",
Arroyo-2009,today philippines weathering well storm raging around world.,
Arroyo-2009,growing stronger challenge.,
Arroyo-2009,"weather clears, will, telling much farther forward go.",
Arroyo-2009,believe it.,
Arroyo-2009,believe.,
Arroyo-2009,"must march forward hope, optimism, determination.",
Arroyo-2009,"must come together, work together, walk together toward future.",
Arroyo-2009,"bagamat malaking hamon nasa harapan, nasa kamay natin malaking kakayahan.",
Arroyo-2009,halinat pagtulungan nating tiyakin karapatdapat kinabukasan inang bayan.,
Arroyo-2009,"people good country, allowing serve president maraming salamat.",
Arroyo-2009,mabuhay pilipinas!,
Aquino-2012,"state nation address excellency benigno s. aquino iii president philippines congress philippines senate president juan ponce enrile speaker feliciano belmonte vice president jejomar binay former presidents fidel valdez ramos joseph ejercito estrada eminent justices supreme court distinguished members diplomatic corps honorable members house representatives senate leaders local government members cabinet uniformed officers military police fellow public servants and, course, bosses, filipino people, pleasant afternoon all.",
Aquino-2012,third sona.,
Aquino-2012,"wasnt long ago began dream when, united, chose straight righteous path began cast aside culture wangwang, streets, every sector society.",
Aquino-2012,two years since said tired corruption poverty time restore government truly side people.,
Aquino-2012,"like many you, victim abuse power.",
Aquino-2012,years old martial law declared.,
Aquino-2012,"seven years seven months, father incarcerated lived forced exile three years.",
Aquino-2012,saw many others also suffered.,
Aquino-2012,"experiences forged principles live citizen oppressed, find ally oppressor, fight find something wrong system, consider duty right it.",
Aquino-2012,"martial law ended long ago did, asked if us, who if now, when united response let us, let now.",
Aquino-2012,democracy taken us force reclaimed peacefully.,
Aquino-2012,"doing, brought light dark chapter history.",
Aquino-2012,let forgotten martial law borne dictator manipulated constitution remain power.,
Aquino-2012,"day, battle rages seek equitable system, seek preserve privileges expense others.",
Aquino-2012,specters lost decade haunted us first day office.,
Aquino-2012,north rail contract—an expensive project became even expensive renegotiation.,
Aquino-2012,"ironically, higher cost came fewer public benefits fleet train sets reduced three, number stations, five two.",
Aquino-2012,"make matters worse, debts incurred project called in.",
Aquino-2012,"goccs handing unwarranted bonuses, despite losses already suffered agencies.",
Aquino-2012,billions wasted pagcor on—of things—coffee.,
Aquino-2012,"suspect management practices pnp, involved ignoring need arm remaining percent police force, collect kickbacks rundown helicopters purchased brandnew prices.",
Aquino-2012,left little fiscal space even debts bunched maturing.,
Aquino-2012,"also left long list obligations fulfill backlog , classrooms, would cost us .",
Aquino-2012,"billion pesos backlog ,, classroom chairs, amounting .",
Aquino-2012,billion pesos.,
Aquino-2012,", estimated million filipinos still members philhealth.",
Aquino-2012,fortytwo billion pesos needed enroll them.,
Aquino-2012,add billion pesos needed modernization armed forces.,
Aquino-2012,"fulfill obligations address needs, bequeathed, start term, .",
Aquino-2012,percent entire budget remaining six months .,
Aquino-2012,"like boxers, sent ring blindfolded, hands feet bound, referee judges paid off.",
Aquino-2012,"first three months office, would look forward sundays could ask god help.",
Aquino-2012,expected would take less two years reforms took hold.,
Aquino-2012,"would countrymen willing wait long know people, proven time world nothing impossible united filipino nation.",
Aquino-2012,"change dreamed of, change achieved benefits change par course.",
Aquino-2012,"roads straight level, properly paved par course.",
Aquino-2012,relief goods ready even storm arrives.,
Aquino-2012,"rescue services always standby, people longer left fend themselves.",
Aquino-2012,par course.,
Aquino-2012,"sirens blare police cars, ambulances, fire trucks—not government officials.",
Aquino-2012,par course.,
Aquino-2012,government abused power finally using power benefit.,
Aquino-2012,"reforms established cut wasteful spending, held offenders accountable actions, showed world philippines open business new management.",
Aquino-2012,sick man asia brims vitality.,
Aquino-2012,"secured first positive credit rating action, said pure luck.",
Aquino-2012,"eight, still luck philippine stock exchange index first broke ,, many wondered sustainable.",
Aquino-2012,"now, many record highs, trouble keeping score record, , index hovers near ,.",
Aquino-2012,"first quarter , gdp grew .",
Aquino-2012,"percent, much higher projected, highest growth southeast asian region, second china whole asia.",
Aquino-2012,"once, debtors now, creditors, clearly laughing matter.",
Aquino-2012,"recently, beg investments now, investors flock us.",
Aquino-2012,"japanese companies said us, maybe youd like take look us.",
Aquino-2012,were cheapest were number one technology.,
Aquino-2012,even leader large british bank recently came looking opportunities.,
Aquino-2012,commentators world voice admiration.,
Aquino-2012,"according bloomberg business week, keep eye philippines.",
Aquino-2012,"foreign policy magazine, even one leaders asean , said even become asias next tiger.",
Aquino-2012,"ruchir sharma, head morgan stanleys emerging market equities said, the philippines longer joke.",
Aquino-2012,"doesnt look like hes pulling leg, company invested approximately billion dollars markets.",
Aquino-2012,wish optimism foreign media would shared local counterparts often.,
Aquino-2012,building environment progress felt majority.,
Aquino-2012,"began office, , householdbeneficiaries pantawid pamilyang pilipino program.",
Aquino-2012,target .,
Aquino-2012,million within two years.,
Aquino-2012,"february year, three millionth householdbeneficiary pantawid pamilya registered.",
Aquino-2012,"next year, enroll .",
Aquino-2012,million households—five times beginning term.,
Aquino-2012,"longterm project, farreaching impact.",
Aquino-2012,"research initial stages, already figures show promise.",
Aquino-2012,"based data dswd ,, mothers get regular checkups ,, children vaccinated diarrhea, polio, measles, various diseases .",
Aquino-2012,million students longer need miss school poverty.,
Aquino-2012,"first took office, percent filipinos enrolled philhealth.",
Aquino-2012,enrollment necessarily based need good graces politicians.,
Aquino-2012,"now, percent citizens members.",
Aquino-2012,"means since received mandate, .",
Aquino-2012,million filipinos access philhealths array benefits services.,
Aquino-2012,heres even better news .,
Aquino-2012,"million poorest households identified national household targeting system fully benefit philhealths programs, free charge.",
Aquino-2012,"department healths balance billing policy, treatment dengue, pneumonia, asthma, cataracts—as well treatments catastrophic diseases like breast cancer, prostate cancer, acute leukemia—can availed free poorest countrymen.",
Aquino-2012,process poorest philhealth members enter government hospital.,
Aquino-2012,show philhealth card.,
Aquino-2012,get treatment.,
Aquino-2012,return homes without shell single centavo.,
Aquino-2012,one briefings attended noted four ten filipinos never seen health professional entire lifetime.,
Aquino-2012,figures dire six ten filipinos die without attended health professionals.,
Aquino-2012,"whatever basis, number filipinos access government health services remains concern.",
Aquino-2012,"acting , ten thousand nurses midwives deployed rnheals program date, deployed ,.",
Aquino-2012,"add , community health teams tasked strengthen links doctors nurses, communities serve.",
Aquino-2012,"today, efficient targeting, deployed needed areas long left margins society.",
Aquino-2012,"sent health professionals , localities covered pantawid pamilya, poorest cities municipalities, identified national antipoverty commission.",
Aquino-2012,"new system addresses two issues thousands nurses midwives jobs opportunity gain valuable work experience time, millions countrymen increased access quality health care.",
Aquino-2012,satisfied this.,
Aquino-2012,"want true, universal, holistic health care.",
Aquino-2012,"begins hospitals, within every household increased consciousness, routine inoculation, regular checkups necessary keep sickness bay.",
Aquino-2012,add efforts ensure prevent illnesses power prevent.,
Aquino-2012,"example last year, told antidengue mosquito traps.",
Aquino-2012,"early claim total victory, scientists rigorous testing, initial results encouraging.",
Aquino-2012,tested efficacy mosquito traps areas highest reported incidence dengue.,
Aquino-2012,", traps distributed bukidnon—which recorded , cases dengue .",
Aquino-2012,"distribution, number cases decreased —that percent reduction rate.",
Aquino-2012,"towns ballesteros claveria cagayan, cases dengue , mere eight cases recorded.",
Aquino-2012,"catarman, northern samar cases dengue reported .",
Aquino-2012,mere four cases .,
Aquino-2012,project initial stages.,
Aquino-2012,"even early on, must thank secretaries ike ona doh mario montejo dost gratitude applause spur even intensive research collaboration.",
Aquino-2012,challenges remain.,
Aquino-2012,high maternal mortality ratio country continues alarm us.,
Aquino-2012,undertaken measures address healthcare needs women.,
Aquino-2012,"we, too, want universal health care want medical institutions enough equipment, facilities, manpower.",
Aquino-2012,"easily fulfill goals, sin tax bill—which rationalizes taxes alcohol tobacco products—can passed.",
Aquino-2012,bill makes vice expensive time raising money health.,
Aquino-2012,"students—what welcomes schools still first learn alphabet beneath shade tree still squatting floor, tussling classmates single textbook great faith secretary luistro next year ends, built , classrooms needed fill shortage inherited—of this, expect , year.",
Aquino-2012,",, backlog chairs bequeathed addressed ends.",
Aquino-2012,"year, too, see eradication backlog .",
Aquino-2012,million textbooks—and finally achieve onetoone ratio books students.,
Aquino-2012,"ending backlogs education sector, potential shortages remains student population continues increase.",
Aquino-2012,perhaps responsible parenthood help address this.,
Aquino-2012,state universities colleges proposed .,
Aquino-2012,percent increase budget next year.,
Aquino-2012,"reminder, though, everything accordance plan corresponding conditions budget increase.",
Aquino-2012,"suc reform roadmap ched, deliberated agreed upon, must enacted ensure students sponsored state top caliber.",
Aquino-2012,"expect work get high marks assignment, striving hard address rest needs.",
Aquino-2012,"year year, budget education increased.",
Aquino-2012,budget inherited deped last billion pesos.,
Aquino-2012,proposal .,
Aquino-2012,billion pesos.,
Aquino-2012,", sucs allocated budget .",
Aquino-2012,billion pesos.,
Aquino-2012,"since then, annually raised allocation next year, proposed set aside .",
Aquino-2012,billion pesos budget sucs.,
Aquino-2012,"despite this, militant groups still cutting classes protest claim cut suc budgets.",
Aquino-2012,its simple .,
Aquino-2012,"higher , .",
Aquino-2012,"higher .. anyone claim cut education budget, well urge schools hold remedial math classes.",
Aquino-2012,"please, attend classes.",
Aquino-2012,"assumed office began establishing muchneeded reforms, belittled governments performance.",
Aquino-2012,"claimed achievements mere luck, impact shortlived.",
Aquino-2012,"still refuse cease spreading negativity keep mouths pursed good news, created industry criticism.",
Aquino-2012,"problem fact that, year ends, every child chairs set books, look straight eye tell them, i want go school.",
Aquino-2012,take issue fact .,
Aquino-2012,"million countrys poorest households avail quality healthcare services without worrying cost, look straight eye tell them, i want get better.",
Aquino-2012,"angers three million filipino families empowered fulfill dreams pantawid pamilya, look straight eye tell them, i take away hope future.",
Aquino-2012,era policy based whims powerful truly come end.,
Aquino-2012,"example, previous leadership tesda generously distributed scholarship vouchers—but neglected fund them.",
Aquino-2012,"naturally, vouchers bounced.",
Aquino-2012,result thousand schools charging government .,
Aquino-2012,billion pesos vouchers.,
Aquino-2012,one person one administration wanted show filipino people paying now.,
Aquino-2012,"secretary joel villanueva assumed post, daunted seemingly impossible reforms agency needed enact.",
Aquino-2012,"despite staggering debt inherited tesda, still trained , individuals training work scholarship program.",
Aquino-2012,"tesda specialists technopreneurship program likewise delivered concrete victories—imagine , certified specialistas earning pesos day, , pesos month.",
Aquino-2012,higher minimum wage.,
Aquino-2012,"infancy, adolescence, adulthood, system working citizens.",
Aquino-2012,ensuring economys newfound vitality generates jobs.,
Aquino-2012,let us keep mind million new entrants job market every year.,
Aquino-2012,jobs produced within past two years total almost .,
Aquino-2012,million.,
Aquino-2012,"result, unemployment rate declining steadily.",
Aquino-2012,", unemployment rate percent.",
Aquino-2012,"april , dropped ., dropped .",
Aquino-2012,year.,
Aquino-2012,apt time us dream day filipino wishes work find job look bpo sector.,
Aquino-2012,"back year , , people employed industry.",
Aquino-2012,"fast forward , people employed bpos, industry contributed billion dollars economy.",
Aquino-2012,"projected come , year bid farewell, bringing billion dollars employing .",
Aquino-2012,million filipinos.,
Aquino-2012,include estimated .,
Aquino-2012,"million taxi drivers, baristas, corner stores, canteens, many others benefit indirect jobs bpo industry create.",
Aquino-2012,large portion jobgeneration strategy building sufficient infrastructure.,
Aquino-2012,"gone boracay vacation, probably seen newly christened terminal caticlan.",
Aquino-2012,plan expand runway also laid out.,
Aquino-2012,stop there.,
Aquino-2012,"end term, new bohol airport panglao, new legaspi airport daraga, laguindingan airport misamis oriental built.",
Aquino-2012,"also upgrade international airports mactan, cebu tacloban puerto princesa airport, receive passengers addition remodeling airports butuan, cotabato, dipolog, pagadian, tawitawi, southern leyte, san vicente palawan.",
Aquino-2012,fourth president deal problems naia terminal .,
Aquino-2012,airplanes take land problems anomalies.,
Aquino-2012,"secretary mar roxas already said convene next sona, structural defects inherited naia fully repaired.",
Aquino-2012,"june, lrt line cavite extension project began move forward.",
Aquino-2012,"completed, alleviate traffic las piñas, parañaque, cavite.",
Aquino-2012,"addition this, order improve traffic metro manila, two elevated roads directly connecting north luzon south luzon expressways.",
Aquino-2012,completed reduce travel time clark calamba hour minutes.,
Aquino-2012,"leave office, highquality terminals taguig, quezon city, parañaque, provincial buses longer add traffic edsa.",
Aquino-2012,perceptions also changed department formerly notorious inadequacies.,
Aquino-2012,"still remember days when, rainy season, tarlac river would overflow submerge macarthur highway.",
Aquino-2012,"asphalt would melt away road would riddled potholes, ended impassable.",
Aquino-2012,"representative district, registered complaints this.",
Aquino-2012,"department public works highways reply know problem, know solve it, money.",
Aquino-2012,"appeal barangays if dont prioritize spend ourselves, one fix it, ones suffer.",
Aquino-2012,"back days, everyone called upon government wake start working.",
Aquino-2012,"complaints today different traffic terrible, thats theres much roadwork done.",
Aquino-2012,remind everyone done without raising taxes.,
Aquino-2012,build road network based kickbacks favoritism.,
Aquino-2012,build according clear system.,
Aquino-2012,"resources projects longer allocated haphazardly, plans longer end unfulfilled—they become tangible roads benefit filipino people.",
Aquino-2012,"assumed office, , kilometers national roads yet fixed.",
Aquino-2012,"right now, , kilometers fixed leadership secretary babes singson.",
Aquino-2012,", additional , kilometers finished.",
Aquino-2012,even identifying fixing dangerous roads use modern technology.,
Aquino-2012,"challenges continue address every year, that, end term, every inch national road network fixed.",
Aquino-2012,fixed roads dpwh fixed system.,
Aquino-2012,"following right process bidding procurement, agency saved total .",
Aquino-2012,billion pesos june year.,
Aquino-2012,even contractors feeling positive effects reforms dpwh.,
Aquino-2012,"according dpwh, the top contractors fully booked.",
Aquino-2012,hopeful development infrastructure continues unimpeded facilitate growth industries.,
Aquino-2012,improvement infrastructure intertwined growth tourism industry.,
Aquino-2012,"consider , philippines recorded .",
Aquino-2012,million tourist arrivals.,
Aquino-2012,"assumed office , figure grown around .",
Aquino-2012,million.,
Aquino-2012,"take note despite length time office, previous administration managed add mere .",
Aquino-2012,million tourist arrivals—and contributed half year number.,
Aquino-2012,"administration, welcomed .",
Aquino-2012,million tourist arrivals june .,
Aquino-2012,"arrive peak season, end year, doubt meet quota .",
Aquino-2012,million tourist arrivals .,
Aquino-2012,means yearonyear increase .,
Aquino-2012,million tourists.,
Aquino-2012,"bottom line two years, would bigger growth tourist arrivals, compared increase charted previous administration nine years.",
Aquino-2012,singing praises merely stating truth.,
Aquino-2012,secretary mon jimenez still satisfied.,
Aquino-2012,says .,
Aquino-2012,"million tourists came malaysia , around million visited thailand, would farfetched ten million tourists visiting philippines annually filipino people continue embody solidarity allowed puerto princesa underground river become one new seven wonders nature, doubt able achieve this.",
Aquino-2012,already announced entire world its fun philippines.,
Aquino-2012,"secretary mon jimenez post less year, already reaping fruits reforms laid down.",
Aquino-2012,"so, comes tourism, confident saying, its really fun—to secretary mon jimenez us.",
Aquino-2012,"comes growth development, agriculture top priorities.",
Aquino-2012,secretary alcala working nonstop deliver us good news.,
Aquino-2012,"before, seemed though officials da cultivated nothing nfas debts.",
Aquino-2012,"nfa predecessors took peso debt left office, bequeathed us debt billion pesos.",
Aquino-2012,"long past, led believe short .",
Aquino-2012,"million metric tons rice, needed import million metric tons address shortage.",
Aquino-2012,"ordered rice unlimited—but exceeded far needed, imported rice went rot warehouses.",
Aquino-2012,"first year, reduced annual shortage .",
Aquino-2012,"million metric tons , metric tons.",
Aquino-2012,"year, ,—including buffer stock dip times calamity.",
Aquino-2012,"and, weather cooperates, well able export rice next year.",
Aquino-2012,secretary alcala said key success feasible irrigation program assiduous implementation certified seeds program.,
Aquino-2012,galling knowledge new—it simply wasnt applied.,
Aquino-2012,"done jobs right, could look coconut industry coconut water, treated waste product, utilized farmers.",
Aquino-2012,", liters exported , ,, liters , staggering ,, liters cocowater exported .",
Aquino-2012,"one previously paid heed coconut coir, experiencing shortage due high demand exporters.",
Aquino-2012,wasting opportunity buying machines process coco fibers.,
Aquino-2012,allocated .,
Aquino-2012,"billion pesos invest in, develop, sector.",
Aquino-2012,mother initiated comprehensive agrarian reform program.,
Aquino-2012,program sees conclusion term.,
Aquino-2012,"improving system, swiftly efficiently realize agrarian reform.",
Aquino-2012,government everything power ensure farmers claim land tilled nurtured sweat.,
Aquino-2012,"those, however, wish obstruct us.",
Aquino-2012,say obey law.,
Aquino-2012,"law says, nation says, say step down, land covered carp distributed.",
Aquino-2012,let shed light advances energy sector.,
Aquino-2012,"past, electrical wire needed reach barangay hall entire barangay deemed energized.",
Aquino-2012,pretext claim .,
Aquino-2012,percent countrys barangays electricity.,
Aquino-2012,"even delivery basic service deception challenged doe nea, allocating .",
Aquino-2012,"billion pesos light initial target , sitios, cost one million pesos per sitio.",
Aquino-2012,"agencies met challenge—they lit , sitios, total cost million pesos.",
Aquino-2012,"accomplished three months, instead two years took people preceded them.",
Aquino-2012,"secretary rene almendras, give credit never seem run energy.",
Aquino-2012,"public service, everready, like energizer bunny too—you keep going, going, going.",
Aquino-2012,"suffused nation light—and light, too, exposed crimes occur shadowed corners society.",
Aquino-2012,filipino works hard longer pilfered.,
Aquino-2012,crime volume continues decline across country.,
Aquino-2012,", , crimes recorded—this year, cut number half, ,.",
Aquino-2012,"moreover, s recorded , cases carnapping likewise reduced half—to cases .",
Aquino-2012,"facts that, hope, bannered headlines.",
Aquino-2012,"claim ended criminality, im sure one would complain reduced.",
Aquino-2012,"span little year, havent finally put raymond dominguez jail, years prison charges filed two brothers well, serving time, too.",
Aquino-2012,"two suspects makati bus bombing past year—one dead, living jail cell.",
Aquino-2012,shares fate ten thousand individuals arrested pdea charges relating illegal drugs.,
Aquino-2012,"pacquiao fight every day, cant rely bring crime rate.",
Aquino-2012,were strengthening police force.,
Aquino-2012,"administration began, percent police carried guns probably relied magic charms chased criminals.",
Aquino-2012,"completed bidding—and testing quality—for order , guns, provide police, better serve protect nation, communities, themselves.",
Aquino-2012,let us talk national defense.,
Aquino-2012,described air force air force.,
Aquino-2012,"lacking proper equipment, troops remain vulnerable even expected put harms way.",
Aquino-2012,cannot allow things remain way.,
Aquino-2012,"one year seven months, able allocate billion pesos afp modernization program.",
Aquino-2012,soon match billion pesos set aside program past years.,
Aquino-2012,"were getting started proposed afp modernization bill passed congress, able allocate billion pesos defense within next five years.",
Aquino-2012,dollar fund entrusted us united states defense capability upgrade sustainment equipment program afp ready well.,
Aquino-2012,"addition assistance improving way patrol shores coast watch center philippines, soon established.",
Aquino-2012,"moment, armed forces likewise canvassing equipment cannons, personnel carriers, frigates.",
Aquino-2012,"long, brp ramon alcaraz, second hamilton class cutter, drop anchor, partner brp gregorio del pilar.",
Aquino-2012,longer send paper boats sea.,
Aquino-2012,"now, , kilometers coastline patrolled modern ships.",
Aquino-2012,"perhaps apt time armed forces clean hangars, equipment arriving soon fortify defenses.",
Aquino-2012,"finally, one roaming skies past years partners two operational.",
Aquino-2012,"year ends, hopeful twentyone refurbished helicopters, four combat utility helicopters, radios communication equipment, rifles, mortars, mobile diagnostic laboratories, even station bullet assemblies purchased delivered.",
Aquino-2012,"come , ten attack helicopters, two naval helicopters, two light aircraft, one frigate, air force protection equipment also arriving.",
Aquino-2012,better equipment demonstrate commitment help police soldiers.,
Aquino-2012,"eased financial burdens , houses built afp–pnp housing program.",
Aquino-2012,"want aggressor, want escalation.",
Aquino-2012,keeping peace.,
Aquino-2012,protecting ourselves—something long thought impossible.,
Aquino-2012,"life soldier risks life every day family, awaits safe return, despite challenges confront him.",
Aquino-2012,lets listen beneficiaries programs tell us words lives changed.,
Aquino-2012,we thank lord god giving us opportunity blessings.,
Aquino-2012,"also, good president.",
Aquino-2012,"projects, know wellbeing armed forces law enforcers heart.",
Aquino-2012,"– domingo medalla were best get by, im best get kids go school.",
Aquino-2012,"thats mission life give kids proper education, right world.",
Aquino-2012,need good parenting that.,
Aquino-2012,im thankful conditional cash transfer program.,
Aquino-2012,learned lot it.,
Aquino-2012,"– eva neri its great help family one of—if im mistaken, one first—beneficiaries category z package philhealth.",
Aquino-2012,im thankful this.,
Aquino-2012,"child getting sick something look forward to, happens, philhealth ease burden.",
Aquino-2012,– kristine tatualla i one participants oakwood mutiny.,
Aquino-2012,"change happening today, its weve fighting for.",
Aquino-2012,"days, president aquinos housing program, its possible us homes.",
Aquino-2012,"– pfc rolly bernal people care them, impassioned soldiers winning peace.",
Aquino-2012,"consider , outlaws whose violence come end great triumph.",
Aquino-2012,"one example infamous terrorist, doctor abu, never strike fear hearts countrymen.",
Aquino-2012,also celebrate peace quiet returned places countrymen deafened gunfire.,
Aquino-2012,"result solidarity barangays liberated enemy, buildings schools repaired, health centers built.",
Aquino-2012,"subject peace, let us talk place long stood symbol frustrated hopes.",
Aquino-2012,"reforms armm began, ghost students walking ghost schools ghost roads, learn ghost teachers.",
Aquino-2012,"apparitions haunted oic governor mujiv hataman four schools found ghost students also investigating teachers whose names appear list professional regulation commission, well government workers listed plantilla.",
Aquino-2012,fiftyfive ghost entries taken payroll.,
Aquino-2012,previous scheme regraveling roads earn money outlawed.,
Aquino-2012,"avoid abuse, ended cash advances agencies.",
Aquino-2012,"now, souls ghosts voters lists rest peace.",
Aquino-2012,"why, oic governor mujiv hataman, say indeed certified ghost buster.",
